CNPJ;RazaoSocial;Ano;Trimestre;ValorDespesas
;;2025;1;102223.76
;;2025;1;18995.81
;;2025;1;3657.1
;;2025;1;54581.8
;;2025;1;365647.93
;;2025;1;31843.31
;;2025;1;350616.54
;;2025;1;7955.63
;;2025;1;632005.95
;;2025;1;485188.89
;;2025;1;1213976.68
;;2025;1;91245.97
;;2025;1;1390754.74
;;2025;1;28772.22
;;2025;1;2450522.86
;;2025;1;85633.24
;;2025;1;600201.6
;;2025;1;1417.88
;;2025;1;690383.39
;;2025;1;0.3
;;2025;1;208259.66
;;2025;1;1494.04
;;2025;1;468.51
;;2025;1;2220.16
;;2025;1;1500634.49
;;2025;1;1339249.2
;;2025;1;4761.19
;;2025;1;638.42
;;2025;1;1168.75
;;2025;1;4919584.58
;;2025;1;6109593.74
;;2025;1;1423.12
;;2025;1;397666.29
;;2025;1;76263.74
;;2025;1;1885260.08
;;2025;1;34475.32
;;2025;1;61543.54
;;2025;1;154521.79
;;2025;1;2918203.76
;;2025;1;889057.56
;;2025;1;100.0
;;2025;1;0.0
;;2025;1;2478778.78
;;2025;1;113988.18
;;2025;1;1453898.82
;;2025;1;192062.3
;;2025;1;4863778.21
;;2025;1;125823.77
;;2025;1;106026.22
;;2025;1;38057.08
;;2025;1;4537021.79
;;2025;1;942352.44
;;2025;1;5884.51
;;2025;1;0.0
;;2025;1;5435743.38
;;2025;1;168298.39
;;2025;1;0.0
;;2025;1;0.0
;;2025;1;3373957.31
;;2025;1;298125.01
;;2025;1;108.25
;;2025;1;0.0
;;2025;1;749102.62
;;2025;1;21523.94
;;2025;1;1702358.0
;;2025;1;0.0
;;2025;1;0.0
;;2025;1;4075603.41
;;2025;1;459878.44
;;2025;1;13702.07
;;2025;1;0.0
;;2025;1;2162305.91
;;2025;1;291943.02
;;2025;1;2689518.29
;;2025;1;0.0
;;2025;1;0.0
;;2025;1;0.0
;;2025;1;0.0
;;2025;1;202773.89
;;2025;1;2816.83
;;2025;1;199005.86
;;2025;1;9840.5
;;2025;1;89345.47
;;2025;1;3287.24
;;2025;1;2436678.37
;;2025;1;13239.97
;;2025;1;2619.76
;;2025;1;0.0
;;2025;1;824593.82
;;2025;1;502.67
;;2025;1;90247.93
;;2025;1;2155.2
;;2025;1;181658.79
;;2025;1;27737.28
;;2025;1;36074.21
;;2025;1;14721.53
;;2025;1;462682.31
;;2025;1;328368.27
;;2025;1;0.0
;;2025;1;261632.0
;;2025;1;383148.74
;;2025;1;2819600.49
;;2025;1;1591626.16
;;2025;1;1835779.4
;;2025;1;12960288.89
;;2025;1;2217107.85
;;2025;1;1439428.74
;;2025;1;10229431.34
;;2025;1;61329.54
;;2025;1;8777417.03
;;2025;1;352016.71
;;2025;1;191637.93
;;2025;1;52633.5
;;2025;1;81945.98
;;2025;1;454670.98
;;2025;1;59860.11
;;2025;1;91996.57
;;2025;1;597298.29
;;2025;1;410457.23
;;2025;1;4506.57
;;2025;1;9757.06
;;2025;1;556353.36
;;2025;1;895507.01
;;2025;1;4118219.41
;;2025;1;27026.8
;;2025;1;647637.57
;;2025;1;1123609.06
;;2025;1;2928797.19
;;2025;1;12728714.2
;;2025;1;151596.92
;;2025;1;791640.42
;;2025;1;49530.64
;;2025;1;193739.28
;;2025;1;8402.43
;;2025;1;1585151.15
;;2025;1;156930.03
;;2025;1;1356230.88
;;2025;1;95020.92
;;2025;1;174780.5
;;2025;1;4216.03
;;2025;1;1087097.4
;;2025;1;10000.0
;;2025;1;712216.46
;;2025;1;15785.94
;;2025;1;24547.44
;;2025;1;1920.28
;;2025;1;5979.68
;;2025;1;60553.35
;;2025;1;13932.06
;;2025;1;214.0
;;2025;1;173225.61
;;2025;1;385500.67
;;2025;1;35051.64
;;2025;1;118509.56
;;2025;1;13535.56
;;2025;1;1509606.86
;;2025;1;510.01
;;2025;1;84400.6
;;2025;1;66607.62
;;2025;1;837796.16
;;2025;1;485.51
;;2025;1;41775.6
;;2025;1;1070.97
;;2025;1;320965.89
;;2025;1;134242.12
;;2025;1;1156543.58
;;2025;1;443810.93
;;2025;1;168.76
;;2025;1;123.49
;;2025;1;517.11
;;2025;1;736.92
;;2025;1;9972.33
;;2025;1;80032.26
;;2025;1;5824.82
;;2025;1;59788.92
;;2025;1;396.42
;;2025;1;164160.79
;;2025;1;570.16
;;2025;1;2290.5
;;2025;1;258049.67
;;2025;1;359371.58
;;2025;1;1196.66
;;2025;1;8722.4
;;2025;1;129976.2
;;2025;1;6935.47
;;2025;1;156457.61
;;2025;1;539705.49
;;2025;1;18410.12
;;2025;1;512990.74
;;2025;1;256.2
;;2025;1;496655.82
;;2025;1;49868.61
